iso3_r250_id,iso3_r250_label,iso3_r250_name,Q,P,lambda,ppp_ratio,Solar_energy_provision
533.0,ABW,Aruba,26.0,NA,0.7,0.7951,NA
4.0,AFG,Afghanistan,55.85,180000.0,0.7,0.1933,36643873.0
24.0,AGO,Angola,1.94,37000.0,0.55,0.3411,115640.0
660.0,AIA,Anguilla,2.68,NA,0.69,NA,NA
248.0,ALA,Åland,NA,NA,NA,NA,NA
8.0,ALB,Albania,22.2,94000.0,0.62,0.3691,3527011.0
20.0,AND,Andorra,0.72,NA,0.08,NA,NA
784.0,ARE,United Arab Emirates,3663.46,109000.0,0.76,0.5756,528388043.0
32.0,ARG,Argentina,800.95,108000.0,0.72,0.4234,146276552.0
51.0,ARM,Armenia,23.6,77000.0,0.42,0.307,2457734.0
16.0,ASM,American Samoa,7.44,NA,0.61,NA,NA
10.0,ATA,Antarctica,NA,NA,NA,NA,NA
260.0,ATF,French Southern Territories,NA,NA,NA,NA,NA
28.0,ATG,Antigua and Barbuda,13.72,449000.0,0.62,0.7117,5354678.0
36.0,AUS,Australia,14848.0,204000.0,0.34,1.0144,1029198521.0
40.0,AUT,Austria,1702.09,102000.0,0.36,0.8265,76504424.0
31.0,AZE,Azerbaijan,44.2,48000.0,0.51,0.2882,3770445.0
108.0,BDI,Burundi,2.98,173000.0,0.61,0.3154,996900.0
56.0,BEL,Belgium,4252.5,167000.0,0.33,0.8237,280312542.0
204.0,BEN,Benin,5.6,207000.0,0.57,0.3591,1849073.0
535.0,BES,"Bonaire, Sint Eustatius and Saba",9.14,NA,0.53,NA,NA
854.0,BFA,Burkina Faso,91.24,238000.0,0.65,0.3427,41267747.0
50.0,BGD,Bangladesh,374.03,97000.0,0.51,0.3504,53132750.0
100.0,BGR,Bulgaria,1417.29,107000.0,0.52,0.1978,400148069.0
48.0,BHR,Bahrain,18.0,60000.0,0.74,0.4816,1669560.0
44.0,BHS,Bahamas,4.66,285000.0,0.48,0.9315,680048.0
70.0,BIH,Bosnia and Herzegovina,30.0,116000.0,0.52,0.3727,4811731.0
652.0,BLM,Saint Barthélemy,0.04,NA,0.68,NA,NA
112.0,BLR,Belarus,181.0,147000.0,0.44,0.3066,38235446.0
84.0,BLZ,Belize,9.44,226000.0,0.56,0.5878,2028582.0
60.0,BMU,Bermuda,NA,NA,NA,1.2727,NA
68.0,BOL,Bolivia,187.52,175000.0,1.0,0.3819,85922124.0
76.0,BRA,Brazil,6666.3,175000.0,0.55,0.5619,1140843792.0
52.0,BRB,Barbados,39.2,266000.0,0.44,1.0972,4209675.0
96.0,BRN,Brunei,1.08,50000.0,0.31,0.4387,38343.0
64.0,BTN,Bhutan,0.38,59000.0,0.54,0.2771,44358.0
74.0,BVT,Bouvet Island,NA,NA,NA,NA,NA
72.0,BWA,Botswana,5.94,163000.0,0.36,0.4494,784085.0
140.0,CAF,Central African Republic,0.43,105000.0,0.56,0.4561,54779.0
124.0,CAN,Canada,3752.0,123000.0,0.33,0.9179,167791740.0
166.0,CCK,Cocos Islands,NA,NA,NA,NA,NA
756.0,CHE,Switzerland,2178.0,136000.0,0.3,1.141,79154251.0
152.0,CHL,Chile,6465.46,102000.0,0.98,0.5658,1142082743.0
156.0,CHN,China,224541.52,146000.0,0.4,0.5876,22588347341.0
384.0,CIV,Côte d'lvoire,5.5,126000.0,0.5,0.3883,892075.0
120.0,CMR,Cameroon,17.45,170000.0,0.53,0.3667,4281913.0
180.0,COD,Democratic Republic of the Congo,12.26,100000.0,0.49,0.4772,1252277.0
178.0,COG,Republic of the Congo,0.67,81000.0,1.0,0.4351,124366.0
184.0,COK,Cook Islands,9.8,NA,0.7,NA,NA
170.0,COL,Colombia,142.8,199000.0,1.0,0.4,71046485.0
174.0,COM,Comoros,1.67,281000.0,0.55,0.4586,566053.0
132.0,CPV,Cabo Verde,8.98,263000.0,0.2,0.5067,935140.0
188.0,CRI,Costa Rica,71.4,144000.0,0.57,0.5521,10692667.0
192.0,CUB,Cuba,191.8,NA,0.48,NA,NA
531.0,CUW,Curaçao,20.44,NA,0.68,0.7568,NA
162.0,CXR,Christmas Island,NA,NA,NA,NA,NA
136.0,CYM,Cayman Islands,17.2,NA,0.6,1.214,NA
196.0,CYP,Cyprus,218.27,191000.0,0.56,0.6584,35480173.0
203.0,CZE,Czechia,2316.15,138000.0,0.41,0.5275,245833618.0
276.0,DEU,Germany,44383.0,256000.0,0.32,0.8035,4536078934.0
262.0,DJI,Djibouti,0.6,262000.0,0.66,0.5256,196272.0
212.0,DMA,Dominica,0.18,368000.0,0.17,0.5924,18540.0
208.0,DNK,Denmark,963.27,242000.0,0.31,0.9803,74629175.0
214.0,DOM,Dominican Republic,372.3,201000.0,0.41,0.414,74528658.0
12.0,DZA,Algeria,711.04,21000.0,0.78,0.3216,36377082.0
218.0,ECU,Ecuador,37.62,119000.0,0.52,0.4947,4740164.0
818.0,EGY,Egypt,1489.0,97000.0,0.32,0.2322,198611339.0
232.0,ERI,Eritrea,49.58,NA,0.77,0.3112,NA
732.0,ESH,Western Sahara,NA,NA,NA,NA,NA
724.0,ESP,Spain,15103.0,260000.0,0.52,0.6763,3035862037.0
233.0,EST,Estonia,73.5,103000.0,0.19,0.5919,2398661.0
231.0,ETH,Ethiopia,19.75,36000.0,0.63,0.3566,1257304.0
246.0,FIN,Finland,147.18,133000.0,0.21,0.9251,4474858.0
242.0,FJI,Fiji,11.08,218000.0,0.51,0.4501,2711247.0
238.0,FLK,Falkland Islands,0.12,NA,0.7,NA,NA
250.0,FRA,France,12165.28,136000.0,0.42,0.7903,883621611.0
234.0,FRO,Faroe Islands,NA,NA,NA,1.0136,NA
583.0,FSM,Micronesia,1.65,414000.0,0.17,0.9572,120778.0
266.0,GAB,Gabon,0.13,191000.0,0.51,0.4665,27049.0
826.0,GBR,United Kingdom,12418.06,177000.0,0.33,0.8548,851478180.0
268.0,GEO,Georgia,3.56,66000.0,0.48,0.2828,400759.0
831.0,GGY,Guernsey,NA,NA,NA,NA,NA
288.0,GHA,Ghana,190.42,236000.0,0.94,0.3642,115867094.0
292.0,GIB,Gibraltar,NA,NA,NA,NA,NA
324.0,GIN,Guinea,21.72,203000.0,0.6,0.3321,8021540.0
312.0,GLP,Guadeloupe,102.86,NA,0.47,NA,NA
270.0,GMB,Gambia,2.92,202000.0,0.63,0.3048,1212644.0
624.0,GNB,Guinea-Bissau,2.95,273000.0,0.64,0.361,1419934.0
226.0,GNQ,Equatorial Guinea,0.41,174000.0,0.46,0.4136,80739.0
300.0,GRC,Greece,4428.51,204000.0,0.61,0.6056,915753250.0
308.0,GRD,Grenada,3.73,309000.0,0.43,0.6362,770847.0
304.0,GRL,Greenland,0.12,NA,0.31,0.8295,NA
320.0,GTM,Guatemala,244.94,201000.0,1.0,0.4195,117365829.0
254.0,GUF,French Guiana,50.82,NA,0.34,NA,NA
316.0,GUM,Guam,77.2,NA,0.78,NA,NA
328.0,GUY,Guyana,10.21,328000.0,0.49,0.4838,3406197.0
344.0,HKG,"China, Hong Kong Special Administrative Region",15.7,161000.0,0.0,0.7899,3200.0
334.0,HMD,Heard Island and McDonald Island,NA,NA,NA,NA,NA
340.0,HND,Honduras,1126.61,208000.0,0.89,0.4326,480934866.0
191.0,HRV,Croatia,83.1,168000.0,0.35,0.0635,77670226.0
332.0,HTI,Haiti,4.92,211000.0,0.63,0.3957,1664992.0
348.0,HUN,Hungary,1497.0,180000.0,0.39,0.4775,221865816.0
360.0,IDN,Indonesia,118.0,109000.0,0.26,0.3426,9585344.0
833.0,IMN,Isle of Man,NA,NA,NA,NA,NA
356.0,IND,India,43933.4,182000.0,0.47,0.2874,13141309120.0
86.0,IOT,British Indian Ocean Territory,NA,NA,NA,NA,NA
372.0,IRL,Ireland,33.26,190000.0,0.3,0.889,2127120.0
364.0,IRN,Iran,510.47,52000.0,0.58,0.5607,27223063.0
368.0,IRQ,Iraq,376.54,85000.0,1.0,0.4631,69118882.0
352.0,ISL,Iceland,5.42,122000.0,0.26,1.131,152643.0
376.0,ISR,Israel,3115.0,118000.0,0.57,1.0708,194474630.0
