Resource,Country_Name,Year,Country_Code,P_electricity_USD_per_GWh,energy_prod_GWh,nat_contrib,gep
Geothermal energy,Austria,2019,AUT,102000.0,0.2,0.5359797214778492,10933.986318148125
Geothermal energy,Chile,2019,CHL,102000.0,202.0,0.68180179281817,14047844.139225574
Geothermal energy,China,2019,CHN,146000.0,143.5,0.4410257739439519,9239930.989899736
Geothermal energy,Costa Rica,2019,CRI,144000.0,1512.575,0.3015933773059839,65690294.7857182
Geothermal energy,Germany,2019,DEU,256000.0,197.0,0.7437606351464807,37509336.35170732
Geothermal energy,France,2019,FRA,136000.0,128.486,0.5359068520511806,9364487.779800126
Geothermal energy,Honduras,2019,HND,208000.0,295.918,0.2339744470068066,14401348.08514692
Geothermal energy,Croatia,2019,HRV,168000.0,91.9,0.2342678125729065,3616907.611875618
Geothermal energy,Indonesia,2019,IDN,109000.0,14100.0,0.2058532379548713,316375841.4128417
Geothermal energy,Iceland,2019,ISL,122000.0,6018.138,0.596534374814019,437983195.1036879
Geothermal energy,Italy,2019,ITA,168000.0,6074.86,0.6390681109649899,652217883.1688988
Geothermal energy,Japan,2019,JPN,212000.0,2847.0,0.7544688929263508,455370262.89019996
Geothermal energy,Kenya,2019,KEN,217000.0,5383.855,0.8064588971263306,942183135.1326133
Geothermal energy,Mexico,2019,MEX,165000.0,5351.0,0.0551369449917657,48681235.78740481
Geothermal energy,New Zealand,2019,NZL,120000.0,8261.0,0.7999849420189341,793041072.7222097
Geothermal energy,Philippines,2019,PHL,181000.0,10690.804,0.5553149364447715,1074554129.028435
Geothermal energy,Papua New Guinea,2019,PNG,289000.0,96.0,0.5717964827687738,15863921.61793686
Geothermal energy,Russian Federation,2019,RUS,84000.0,432.7,0.3127858629317916,11368765.202809243
Geothermal energy,Thailand,2019,THA,137000.0,1.246,0.5577261468949652,95204.96872726435
Geothermal energy,Turkiye,2019,TUR,89000.0,8951.74,0.4151735908644141,330770817.5853303
Geothermal energy,United States,2019,USA,181000.0,18364.0,0.3989025597974396,1325905836.0697527
